Название,Тип заведения,Средний чек,Адресс
Зимний сад,кафе-бар,Средний чек 7000 тнг,"Тлендиева, 100"
SHIFO,кафе,Средний чек 3000 тнг,"проспект Сейфуллина, 402"
Мансард,кафе,Средний чек 3000 тнг,"проспект Райымбека, 176"
Black Star Burger,Быстрое питание,,"Гоголя, 144"
Wine Time,кафе-маркет,Средний чек 10000 тнг,"Кабанбай батыра, 65"
Хинкальная,ресторан грузинской кухни,Средний чек 4500 тнг,"Пятницкого, 23"
Qazybek,гостинично-ресторанный комплекс,Средний чек 5000 тнг,"Досмухамедова, 55"
Harat`s Irish Pub,ирландский паб,Средний чек 8000 тнг,"проспект Аль-Фараби, 7 блок 5а"
Gippo,сеть павильонов и кафе быстрого питания,Средний чек 700 тнг,"проспект Гагарина, 93 киоск"
Dandy pastry studio,кондитерская студия,Средний чек 3000 тнг,"Байсеитовой, 40/1"
Meat & beer Redley`s,кафе,Средний чек 2000 тнг,"проспект Достык, 47"
SALAM BRO,сеть кафе и киосков быстрого питания,,"микрорайон Аксай 5, 25"
Островок,кафе,Средний чек 3000 тнг,"проспект Райымбека, 240"
Жигули,гастропаб,Средний чек 3000 тнг,"Толе би, 45"
PARTY FOOD,сеть пиццерий,Средний чек 3500 тнг,"ТЦ AVTODOM, Сатпаева, 90/21"
NASLEDNIKI,центр семейного отдыха,,"ТРК MAXIMA, проспект Райымбека, 239г"
Мирас,шашлычная,Средний чек 2000 тнг,"Кабанбай батыра, 16"
Amazon,кафе,Средний чек 3000 тнг,"Жангельдина, 212Б"
Суши-Маки,суши-бар,Средний чек 3000 тнг,"10-й микрорайон, 3в"
KFC,предприятие быстрого обслуживания,Средний чек 1230 тнг,"ТРЦ Mega Center Alma-Ata, Розыбакиева, 247а"
Берекет,кафе быстрого питания,,"Тургут Озала, 256"
Favor City View,ресторанный комплекс,Средний чек 8000 тнг,"Жамакаева, 256а"
BAO Sushi & Noodles Bar,сеть ресторанов,Средний чек 3000 тнг,"ТРК MEGA Park, проспект Сейфуллина, 483"
Costa Coffee,сеть кофеен,Средний чек 1800 тнг,"проспект Аль-Фараби, 17/1 к5Б"
Red Dragon Almaty,сеть киосков быстрого питания,,"Жандосова, 10 киоск"
Gippo,сеть павильонов и кафе быстрого питания,Средний чек 700 тнг,"ТД NUR, Мустафина, 5Б"
BOHO,ресторан уличной еды,,"Гостиница Алма-Ата, Кабанбай батыра, 85"
PPL,ресто-бар,Средний чек 8000 тнг,"Утепова, 8"
Yasuda Sushi,японский суши-бар,Средний чек 4500 тнг,"Панфилова, 114"
Manhattan,лагманхана,Средний чек 1500 тнг,"Прокофьева, 165"
Лагманхана,Быстрое питание,Средний чек 800 тнг,"Кунаева, 36/4"
Ариал,ресторанный комплекс,Средний чек 8000 тнг,"проспект Аль-Фараби, 142"
Пинта,сеть пивных ресторанов,,"ТРЦ MOSKVA Metropolitan, 8-й микрорайон, 37/1"
Starbucks,сеть кофеен,,"ТРК MEGA Park, Макатаева, 127/1"
Lost Angels,лаундж-бар,Средний чек 10000 тнг,"БЦ Премьер Алатау, проспект Достык, 105"
"Sabiz, ресторан",Express,,"Халиуллина, 66"
SALAM BRO,сеть кафе и киосков быстрого питания,Средний чек 1000 тнг,"Карашаш, 1 киоск"
Астероид Б612,семейное кафе,Средний чек 3000 тнг,"Кабанбай батыра, 89"
KFC,предприятие быстрого обслуживания,Средний чек 1250 тнг,"ТРК Forum, проспект Сейфуллина, 617"
Трдельник,чешская кофейня,,"Дворец спорта, проспект Абая, 44"
Imone,кафе,Средний чек 3000 тнг,"микрорайон Казахфильм, 21в"
PAROVOZ Cafe & Bar,Бары,Средний чек 4000 тнг,"Шокая, 37"
Gogol food kafesi,кафе,Средний чек 3000 тнг,"Гоголя, 158"
Чешский двор,пивной ресторан,Средний чек 6000 тнг,"Манаса, 5а"
Рибай,стейк-бар,Средний чек 10000 тнг,"проспект Аль-Фараби, 45"
Pro Barista,кофейня,Средний чек 800 тнг,"Панфилова, 92/63"
Белый кит,кофе-бар,Средний чек 5000 тнг,"Ауэзова, 69"
ТРАКТИР НА ЖАРОКОВА,кафе-бар,Средний чек 4500 тнг,"Кемеровская, 8"
The Shakespeare Pub,паб,Средний чек 6000 тнг,"проспект Достык, 40"
MERLOT wine & meat,ресторан,,"Кунаева, 41"
TYTIN,бар,Средний чек 4500 тнг,"проспект Достык, 30"
ANNA MARIA,греческая таверна,Средний чек 4000 тнг,"проспект Достык, 31"
Mendal,кафе,Средний чек 4500 тнг,"микрорайон Самал-2, 31"
Халва,кафе,Доставка,"Абишева, 13"
Той Дәмі,сеть кулинарий,,"проспект Райымбека, 162/1"
Palermo,ресторан,Бизнес-ланч,"БЦ OLD SQUARE, Панфилова, 98"
"KFC, предприятие быстрого обслуживания",Автокафе,,"ТРЦ DOMILLION, проспект Рыскулова, 143в"
Starbucks,сеть кофеен,,"БЦ Almaty Towers, Байзакова, 280"
Буханка,гриль-бар,Средний чек 4000 тнг,"Толе би, 200в"
Degirmen,сеть кафе быстрого питания,,"Панфилова, 84/54"
Шоти Бури,кафе,Средний чек 3000 тнг,"Қылқобыз, 58"
Honest Coffeehouse,кофейня,Средний чек 4000 тнг,"Богенбай батыра, 94"
Volpi rosse,семейное кафе,Средний чек 7000 тнг,"БЦ Jenis, бульвар Бухар Жырау, 33"
Red Dragon Almaty,сеть киосков быстрого питания,Доставка,"Розыбакиева, 136/1"
HOLDER coffee,кофейня,Средний чек 1500 тнг,"проспект Абая, 21"
Media,кафе,Средний чек 2000 тнг,"ЖК Престиж Алатау, Кашгарская, 69/102"
Angel-in-us Coffee,сеть кофеен,Средний чек 2500 тнг,"Гостиница Алма-Ата, Кабанбай батыра, 85"
PALLADIUM,ресторанный комплекс,Средний чек 15000 тнг,"проспект Назарбаева, 275в"
Gippo,сеть павильонов и кафе быстрого питания,Средний чек 700 тнг,"Толе би, 229/1 киоск"
CTR Chicken Almaty,сеть кафе быстрого питания,Средний чек 1500 тнг,"Мустафина, 5Б/1"
SUSHI MASTER,сеть суши-баров,Средний чек 3000 тнг,"проспект Абылай хана, 8"
Шаган,гостиничный комплекс,,"проспект Райымбека, 237в"
"Makimaki Almaty, сеть ресторанов быстрого питания",Пункт выдачи товара,Средний чек 3000 тнг,"3-й микрорайон, 29а"
Жасмин,кафе,Средний чек 3500 тнг,"проспект Райымбека, 322"
ALMATY Doner,кафе быстрого питания,Шаурма,"проспект Абая, 34"
Halal Slice,пиццерия,Доставка,"микрорайон Самал-3, 1/13 киоск"
Salut Hotel Almaty,комплекс,Средний чек 5000 тнг,"микрорайон Баянауыл, 30"
Marrone Rosso,сеть кофеен,Средний чек 3000 тнг,"ТРЦ Mega Center Alma-Ata, Розыбакиева, 263"
Цыпа,стрит-фуд,Средний чек 1500 тнг,"микрорайон Керемет, 7 к40"
2D House Almaty,кофейня,,"Тимирязева, 57"
Qazan,кафе,Средний чек 3000 тнг,"Цветочная, 6/1"
Almaly chinese food Hogo,кафе,Средний чек 3000 тнг,"12-й микрорайон, 1а"
SALAM BRO,сеть кафе и киосков быстрого питания,,"ТРЦ Mega Center Alma-Ata, Розыбакиева, 247а"
ASSORTI,сеть ресторанов,Средний чек 5000 тнг,"ТРЦ Mega Center Alma-Ata, Розыбакиева, 247а"
Додо Пицца,сеть пиццерий,Средний чек 2000 тнг,"ТРК Forum, проспект Сейфуллина, 617"
coffeecentre,кофейня,Средний чек 5000 тнг,"Курмангазы, 9а"
ZMood,ресторан,Средний чек 5000 тнг,"ЖК Royal, Кажымукана, 49, Алматы"
Vato Cato Taqueria,ресто-бар,Средний чек 4000 тнг,"проспект Назарбаева, 124, Алматы"
CAFETERIA,городское кафе,Средний чек 1500 тнг,"Тимирязева, 36д к3, Алматы"
Red Dragon Almaty,сеть киосков быстрого питания,,"проспект Жибек Жолы, 64 киоск, Алматы"
